name,outlet_name,address,postal_code,muis_halal_status,certificate_number,type,scheme,sub_scheme,data_sources,muis_place_id,halaltag_place_id,X,Y,geocode_source
DOUGH CULTURE,,1 PASIR RIS CENTRAL STREET 3 #01-43 518457,518457,MUIS Halal Certified,EEBN21120013008,0.0,100.0,108.0,"muis,halaltag",0a24b696-af57-4b5a-af1d-815fe8f04bcb,150.0,40958.9038011068,39385.0873588398,postal_exact
D'PENYETZ,,460 ALEXANDRA ROAD #01-02 MTOWER 119963,119963,MUIS Halal Certified,EERT20220000546,0.0,100.0,106.0,"muis,halaltag",70e071d9-10d7-4dd6-bcd5-8354b6b269b0,1531.0,24447.647553565,28514.458416285,postal_exact
D'PENYETZ,,750 CHAI CHEE ROAD #01-13 ESR BIZPARK @ CHAI CHEE 469000,469000,MUIS Halal Certified,EERT20240000248,0.0,100.0,106.0,"muis,halaltag",70e071d9-10d7-4dd6-bcd5-8354b6b269b0,1531.0,37880.8159072176,33988.3764167186,postal_exact
D'PENYETZ & D'CENDOL,,17 PETIR ROAD #01-42 HILLION MALL 678278,678278,MUIS Halal Certified,EERT20240000247,0.0,100.0,106.0,"muis,halaltag",ecd0c6c3-907a-47e4-b44a-55778fdcff4a,1531.0,20156.924196275,40045.5291034393,postal_exact
D'PENYETZ,,50 JURONG GATEWAY ROAD #05-02 JEM 608549,608549,MUIS Halal Certified,EERN22030013542,0.0,100.0,106.0,"muis,halaltag",70e071d9-10d7-4dd6-bcd5-8354b6b269b0,1531.0,17988.4838308077,35058.3568146359,postal_exact
D'PENYETZ,,151 LORONG CHUAN #01-24 NEW TECH PARK 556741,556741,MUIS Halal Certified,EERN21120013324,0.0,100.0,106.0,"muis,halaltag",70e071d9-10d7-4dd6-bcd5-8354b6b269b0,1531.0,31047.0580999488,37129.6753019076,postal_exact
D'PENYETZ,,"1 TAMPINES WALK #02-90,#02-91 OUR TAMPINES HUB 528523",528523,MUIS Halal Certified,EERT20250000294,0.0,100.0,106.0,"muis,halaltag",70e071d9-10d7-4dd6-bcd5-8354b6b269b0,1531.0,39914.8495354457,37294.1738026626,postal_exact
El Carbon,,"721 ANG MO KIO AVENUE 8 #01-2823, Stall 1 560721",560721,MUIS Halal Certified,EEHN21080012592,0.0,100.0,103.0,"muis,halaltag",54f3a0ce-35d4-40cb-ac80-01ca8c78ad5a,1345.0,29622.6760250861,39372.9941794295,postal_exact
El Carbon (S13) @ Foodies' Clan T2 Staff Canteen,,"60 AIRPORT BOULEVARD #3M-0610 CHANGI AIRPORT TERMINAL 2, stall 13 819643",819643,MUIS Halal Certified,EEHK20240000678,0.0,100.0,103.0,"muis,halaltag",3daa499b-0f0b-4e4c-831a-59ff2b026376,1345.0,45341.3799200347,37488.1988123395,postal_exact
El Carbon,,"717 YISHUN STREET 71, KHATIB SPRING #01-335 S9@FOOD LOFT 760717",760717,MUIS Halal Certified,EEHN21080012600,0.0,100.0,103.0,"muis,halaltag",54f3a0ce-35d4-40cb-ac80-01ca8c78ad5a,1345.0,27419.733790338,45277.9669504799,postal_exact
Encik Tan,,460 ALEXANDRA ROAD #01-32 ALEXANDRA RETAIL CENTRE 119963,119963,MUIS Halal Certified,EERN22010013403,0.0,100.0,106.0,"muis,halaltag",008ded89-78a7-4d68-8a1e-8fdc67f56423,471.0,24447.647553565,28514.458416285,postal_exact
Encik Tan,,311 NEW UPPER CHANGI ROAD #B1-41/42 Bedok Mall 467360,467360,MUIS Halal Certified,EERN22010013414,0.0,100.0,106.0,"muis,halaltag",008ded89-78a7-4d68-8a1e-8fdc67f56423,471.0,38676.9034089688,34108.3360939901,postal_exact
Encik Tan,,65 AIRPORT BOULEVARD #02-K6 Changi Airport Terminal 3 Departure/Transit Lounge south 819663,819663,MUIS Halal Certified,EEBN22010013074,0.0,100.0,108.0,"muis,halaltag",008ded89-78a7-4d68-8a1e-8fdc67f56423,471.0,45015.2803212646,37610.5688502248,postal_exact
Encik Tan,,1 SENGKANG SQUARE #02-29 COMPASS ONE 545078,545078,MUIS Halal Certified,EERT20240000402,0.0,100.0,106.0,"muis,halaltag",008ded89-78a7-4d68-8a1e-8fdc67f56423,471.0,34872.1834410084,41551.7693360616,postal_exact
Encik Tan,,1 WOODLANDS ROAD #01-31A JUNCTION 10 677899,677899,MUIS Halal Certified,EERN22010013407,0.0,100.0,106.0,"muis,halaltag",008ded89-78a7-4d68-8a1e-8fdc67f56423,471.0,19859.2468093075,40256.2722101696,postal_exact
Encik Tan,,1 STADIUM PLACE #01-32 Sports Hub 397628,397628,MUIS Halal Certified,EERT20230000243,0.0,100.0,106.0,"muis,halaltag",008ded89-78a7-4d68-8a1e-8fdc67f56423,471.0,32432.8422906362,31712.9829503335,postal_exact
Encik Tan,,"6 RAFFLES BOULEVARD #02-275, #276-275 MARINA SQUARE 039594",039594,MUIS Halal Certified,EERT20240000399,0.0,100.0,106.0,"muis,halaltag",008ded89-78a7-4d68-8a1e-8fdc67f56423,471.0,30811.1659309082,30472.3321676366,postal_exact
Encik Tan,,930 YISHUN AVENUE 2 #01-07 NORTHPOINT 769098,769098,MUIS Halal Certified,EERN22010013405,0.0,100.0,106.0,"muis,halaltag",008ded89-78a7-4d68-8a1e-8fdc67f56423,471.0,28273.5290191257,45714.3116263431,postal_exact
Encik Tan (S1) @ North Spine Plaza NTU,,"76 NANYANG DRIVE #01-04 NTU, Stall 1 637331",637331,MUIS Halal Certified,EEHK20240000385,0.0,100.0,103.0,"muis,halaltag",12574580-7c42-4bee-be1b-e9d13f6fa073,471.0,10941.0794907389,36584.8976628669,postal_exact
