outlet_id,name,address,X,Y,distance_to_network,network_node
82,AJ DELIGHTS,2 TAMPINES CENTRAL 5 #B1-32 CENTURY SQUARE 529509,40296.7094797157,37163.8108075112,70.52177716804108,"(40350.0, 37210.0)"
83,AJ DELIGHTS,1 FUSIONOPOLIS WAY #B1-22 CONNEXIS 138632,22916.4807585794,31328.5716571808,27.211349395676763,"(22910.0, 31355.0)"
84,"ASAM TREE CAFE, BAKERY AND RESTAURANT",709 ANG MO KIO AVENUE 8 #01-2609 560709,29596.2838566834,39238.9064364713,209.734350980271,"(29760.0, 39370.0)"
85,Anna's,681 PUNGGOL DRIVE #01-04 OASIS TERRACES 820681,36891.3954429701,42737.9701953474,77.47280236772235,"(36840.0, 42680.0)"
86,Ayam Penyet YB (S9) @ Jurong West Hawker Centre.,"50 JURONG WEST STREET 61 #02-09, STALL 9 648202",12856.1163570611,35936.1073061898,101.13732789629192,"(12765.0, 35980.0)"
87,Bizlink Cafe,10 BUANGKOK VIEW INSTITUTE OF MENTAL HEALTH 539747,33828.2181632193,40338.6487374194,192.20106567575098,"(33865.0, 40150.0)"
88,Bedok One Hokkien Prawn Mee (S15) @ Fernvale Hawker Centre,"21 SENGKANG WEST AVENUE #03-15 FERNVALE COMMUNITY CENTRE, FERNVALE HAWKER CENTRE & MARKET 797650",32861.2189197866,41515.4977280423,66.83414937055558,"(32905.0, 41465.0)"
89,Bali Thai Restaurant,1 WOODLANDS SQUARE #05-05 CAUSEWAY POINT 738099,22699.5234229155,46412.0238526929,64.55515536698026,"(22635.0, 46410.0)"
90,Bali Thai Restaurant,2 JURONG EAST STREET 21 #01-21 IMM BUILDING 609601,18381.9356864095,35229.409786731,99.29584256024583,"(18480.0, 35245.0)"
91,Bali Thai Restaurant,23 Serangoon Central #02-13 NEX 556083,32289.4083088608,36976.3859132938,134.39425789827513,"(32375.0, 37080.0)"
92,Bali Thai Restaurant,391 ORCHARD ROAD #05-29 TAKASHIMAYA SHOPPING CENTRE 238872,28207.3720752392,31620.7876102384,83.89672786832644,"(28230.0, 31540.0)"
93,Bali Thai Restaurant,"3 TEMASEK BOULEVARD #B1-121B, B1-121A SUNTEC CITY MALL 038983",31006.546098751,30804.5639691036,202.13464337698068,"(30815.0, 30740.0)"
94,BEBEK GORENG PAK NDUT,304 ORCHARD ROAD #01-42/43/44 LUCKY PLAZA 238863,28071.6446550656,31871.1689420138,79.1106007066346,"(28065.0, 31950.0)"
95,BEBEK GORENG PAK NDUT,10 EUNOS ROAD 8 #B1-130 SINGAPORE POST CENTRE 408600,34806.9933473254,33466.3257959317,191.3361795961689,"(34805.0, 33275.0)"
96,BEBEK GORENG PAK NDUT,3 GATEWAY DRIVE #B1-11 WESTGATE 608532,17902.4121881062,35135.4420140442,65.74036784391086,"(17890.0, 35200.0)"
98,BREAD FRESH,257 BANGKIT ROAD #01-57 BUKIT PANJANG NEW TOWN 670257,21310.927306273,40054.092188444,122.32442174535058,"(21235.0, 40150.0)"
99,BREAD FRESH,445 FAJAR ROAD #01-524 (PART OF) 670445,21074.3215392474,40594.8962768503,127.51505896395696,"(21010.0, 40705.0)"
100,BREAD FRESH,103 YISHUN RING ROAD #01-65 760103,27507.4825517498,45899.0676108301,143.02175346049358,"(27600.0, 45790.0)"
101,BREAD FRESH,598 Yishun Ring Road #01-61 Wisteria Mall 768698,28884.7489383351,44415.5435907897,89.7505845285921,"(28795.0, 44415.0)"
102,BAKE INC,275D COMPASSVALE LINK #01-01 ASPELLA 544275,34721.186367874,40540.2050570715,92.62299887965017,"(34655.0, 40605.0)"
103,BAKE INC,84 BEDOK NORTH STREET 4 #01-55 460084,39784.4447099417,34887.5066380333,87.68279732948187,"(39790.0, 34800.0)"
104,BAKE INC,2 SIMEI STREET 3 #01-20 CHANGI GENERAL HOSPITAL 529889,40925.9058268666,35887.5367570054,103.42805171366557,"(40940.0, 35990.0)"
105,BAKE INC,810 CHOA CHU KANG AVENUE 7 #01-10 MULTI STOREY CAR PARK 680810,18300.4237338472,39561.6709877234,241.89539783798503,"(18515.0, 39450.0)"
106,BAKE INC,180 KITCHENER ROAD #B1-35 CITY SQUARE MALL 208539,30593.6748798871,32635.8044067919,78.4044740851155,"(30560.0, 32565.0)"
107,BAKE INC,441A CLEMENTI AVENUE 3 #01-07 CLEMENTI TOWERS 121441,20374.281765487,32991.737946393,140.64849376424138,"(20485.0, 32905.0)"
108,BAKE INC,762 JURONG WEST STREET 75 #01-314 640762,12910.7207379946,36763.1478772014,76.11652759713857,"(12840.0, 36735.0)"
109,BAKE INC,17 PETIR ROAD #B2-41/42 HILLION MALL 678278,20156.924196275,40045.5291034393,106.86963818115339,"(20245.0, 39985.0)"
110,BAKE INC,258 PASIR RIS STREET 21 #01-20 LOYANG POINT 510258,42613.6482054582,38789.9653154314,96.84723246911302,"(42660.0, 38875.0)"
111,BAKE INC,475 CHOA CHU KANG AVENUE 3 #01-17 SUNSHINE PLACE 680475,17495.9250015644,40004.170991024,70.09325197503783,"(17520.0, 40070.0)"
112,BAKE INC,505 TAMPINES CENTRAL 1 #01-357 520505,40497.4326428482,37515.4695089683,80.77194680363361,"(40570.0, 37480.0)"
113,BAKE INC,11 JALAN TAN TOCK SENG #01-13/14/15 TAN TOCK SENG HOSPITAL 308433,29845.4109134814,33529.1213591546,25.85994246402078,"(29825.0, 33545.0)"
114,BAKE INC,70 JELLICOE ROAD #01-12 V HOTEL LAVENDER 208767,31251.5205697902,32235.0627494566,51.845674090855326,"(31265.0, 32185.0)"
115,BAKE INC,414 YISHUN RING ROAD #01-1861 760414,29477.5316298185,45142.6443948578,125.09653542954808,"(29435.0, 45025.0)"
116,BAKE INC,317 YISHUN AVENUE 9 #01-02 YISHUN GREENWALK 760317,28996.9259300251,46164.8320097011,125.22612429550873,"(28880.0, 46120.0)"
117,Bird Avenue,176 ORCHARD ROAD #B1-18 THE CENTREPOINT 238843,28716.7630815674,31591.6722616088,67.09566405775682,"(28650.0, 31585.0)"
118,Brisket King Beef Noodles (S4)@Food Republic City Square Mall,"180 KITCHENER ROAD #B3-04 CITY SQUARE MALL, Stall 4 208539",30593.6748798871,32635.8044067919,78.4044740851155,"(30560.0, 32565.0)"
119,BBQ Chicken Wing & Western Cuisine (S69)@Kopitiam Lau Pa Sat,"18 RAFFLES QUAY TELOK AYER FESTIVAL MARKET (LAU PA SAT FESTIVAL MARKET), Stall 69 048582",29902.4387610676,29233.7244435716,56.765072161911625,"(29895.0, 29290.0)"
120,Brinda's,162 BUKIT MERAH CENTRAL #01-3533 150162,26235.748184246,29585.731196573,71.88254844351505,"(26305.0, 29605.0)"
121,Bedok Corner Hokkien Fried Squid Prawn Mee (S29)@Bedok Food Centre,"1 BEDOK ROAD #01-29, STALL 29 469572",41595.1037662067,33623.4633651916,57.91797940956473,"(41650.0, 33605.0)"
122,Bara,3 SIMEI STREET 6 #01-12 EASTPOINT MALL 528833,41321.990633836,36095.4413322229,189.13675414034847,"(41240.0, 35925.0)"
123,Bara,16 ENGGOR STREET #01-10 ICON VILLAGE 079717,29224.3218760369,28566.2991184294,57.63331972073197,"(29190.0, 28520.0)"
124,BREAD JUNCTION,991 BUANGKOK LINK #01-20/21 MULTI STOREY CAR PARK 530991,33375.6730938945,40698.2200346421,286.9255706970435,"(33090.0, 40725.0)"
125,BREAD JUNCTION,639 PUNGGOL DRIVE #01-03 THE MEADOWS 820639,37207.4121407364,42369.3232248146,200.25937993057246,"(37070.0, 42515.0)"
126,BREAD JUNCTION,201D TAMPINES STREET 21 #01-1123 524201,41384.4689885899,37152.143589437,110.56791381157707,"(41495.0, 37155.0)"
127,THAI MAKAN (S10) @ CANTINE JURONG POINT,"1 JURONG WEST CENTRAL 2 #B1-42/43/44 JURONG POINT, Stall 10 648886",13907.0305282837,35735.67771223,104.76670706956833,"(14010.0, 35755.0)"
128,Brunch & Co,127 PLANTATION CRESCENT #02-18 PLANTATION PLAZA 690127,16966.4424405927,37741.4999148957,348.8638007284855,"(17240.0, 37525.0)"
129,Bumbu Restaurant,44 KANDAHAR STREET 198897,30957.9466739111,31575.9878767356,55.34988262928738,"(31000.0, 31540.0)"
130,BREAD GARDEN,283 BUKIT BATOK EAST AVENUE 3 #01-257 650283,19566.6110998513,36563.833416298,154.25645711887773,"(19425.0, 36625.0)"
131,BREAD GARDEN,417 YISHUN AVENUE 11 #01-343 760417,29447.8759976802,45126.7844556775,102.59564675865056,"(29435.0, 45025.0)"
132,BAR-B-Q TONIGHT,10 ROBERTS LANE 218289,30286.4815415191,32534.7413647044,24.990291665324957,"(30290.0, 32510.0)"
133,Beyond Pancakes,180 KITCHENER ROAD #02-35/36 CITY SQUARE MALL 208539,30593.6748798871,32635.8044067919,78.4044740851155,"(30560.0, 32565.0)"
